"label","file_name"
"F0112","201_s.png"
"F0113","201_s.png"
"F0115","201_s.png"
"F0205","201_s.png"
"F0216","201_s.png"
"F0218","201_s.png"
"F0219","201_s.png"
"F0222","201_s.png"
"F0223","201_s.png"
"F0320","201_s.png"
"F0321","201_s.png"
"F0401","201_s.png"
"F0402","201_s.png"
"F0426","201_s.png"
"F0427","201_s.png"
"F0504","201_s.png"
"F0505","201_s.png"
"F0604","201_s.png"
"F0606","201_s.png"
"F0701","201_s.png"
"F0703","201_s.png"
"F0803","201_s.png"
"F0805","201_s.png"
"F0806","201_s.png"
"F0901","201_s.png"
"F0902","201_s.png"
"F0903","201_s.png"
"F0904","201_s.png"
"F1001","201_s.png"
"F1002","201_s.png"
"F1004","201_s.png"
"F1005","201_s.png"
"F1008","201_s.png"
"F1009","201_s.png"
"F1101","201_s.png"
"F1301","201_s.png"
"F1302","201_s.png"
"F1413","201_s.png"
"F1414","201_s.png"
"F1513","201_s.png"
"F1514","201_s.png"
"F1515","201_s.png"
"F1516","201_s.png"
"F1721","201_s.png"
"F1813","201_s.png"
"F1814","201_s.png"
"F1815","201_s.png"
"F1816","201_s.png"
"F1905","203_s.png"
"F1906","203_s.png"
"F1919","203_s.png"
"F1920","203_s.png"
"F2403","203_s.png"
"F2404","203_s.png"
"F0103","204_s.png"
"F0203","204_s.png"
"F0206","204_s.png"
"F0220","204_s.png"
"F0326","204_s.png"
"F0432","204_s.png"
"F0821","204_s.png"
"F1903","205_s.png"
"F1904","205_s.png"
"F1915","205_s.png"
"F1916","205_s.png"
"F0404","206_s.png"
"F0433","206_s.png"
"F0527","206_s.png"
"F0603","206_s.png"
"F0622","206_s.png"
"F0623","206_s.png"
"F0711","206_s.png"
"F0712","206_s.png"
"F1718","206_s.png"
"F1719","206_s.png"
"F1811","206_s.png"
"F1812","206_s.png"
"F0612","207_s.png"
"F0613","207_s.png"
"F0614","207_s.png"
"F0615","207_s.png"
"F1908","209_s.png"
"F1909","209_s.png"
"F1917","209_s.png"
"F1918","209_s.png"
"F2001","210_s.png"
"F1031","211_s.png"
"F1006","212_s.png"
"F0512","213_s.png"
"H1907","213_s.png"
"Y2101","214_s.png"
"Y2102","215_s.png"
"F1720","201_s.png"
"DEFAULT","201_s.png"
